chemical formula,saturation magnetization,compoundradix,stoicentw,Zw,periodw,groupw,meltingTw,miedemaH,valencew,electronegw
Cr3 Pt1 N1,1.3228799605629182,3.0,0.9502705392332346,73.016076,4.0,8.6,1728.91,-71.2,5.8,2.06
Cr3 Sn1 N1,0.5475134296445324,3.0,0.9502705392332346,57.74123600000001,3.8,9.4,1421.6460000000002,-60.96,5.4,1.996
Cr4 Bi4,0.8636357212341932,2.0,0.6931471805599453,130.4882805,5.0,10.5,1362.35,24.0,5.5,1.8399999999999999
Cr4 Cd2 N4,0.30211117154862976,3.0,1.054920167986144,48.884144000000006,3.4000000000000004,10.8,1016.104,-92.16000000000003,4.800000000000001,2.218
Cr4 Co4 Si4,0.3334562668281872,3.0,1.0986122886681098,46.33811813333333,3.666666666666666,9.666666666666666,1878.333333333333,-35.11111111111111,5.0,1.8133333333333332
Cr4 Fe2,0.5866268381099777,2.0,0.6365141682948129,53.27917333333333,4.0,6.666666666666666,2057.0,-0.8888888888888888,6.0,1.7166666666666666
Cr4 Fe6 N8,0.47997275255731603,3.0,1.0608569471580214,36.39510222222222,3.111111111111111,10.666666666666666,1116.1777777777777,-94.12345679012344,5.555555555555555,2.33
Cr4 Fe8 N12,0.23391813628582062,3.0,1.0114042647073518,34.28459333333333,3.0,11.166666666666666,998.575,-93.88888888888889,5.5,2.4066666666666667
Cr4 Ga2 N2,0.5110157001037664,3.0,1.0397207708399179,46.930605,3.5,10.0,1181.51615,-77.75,5.0,2.0425
Cr4 Ga4 N8,0.7435636420962557,3.0,1.0397207708399179,37.433315,3.0,12.25,652.3036500000001,-101.25,4.75,2.3875
Cr4 Ge4,0.41320143391912567,2.0,0.6931471805599453,62.31348,4.0,10.0,1695.7,-18.5,5.0,1.835
Cr4 Ge4 N8,0.9609591834240444,3.0,1.0397207708399179,38.16024,3.0,12.5,879.4250000000001,-97.375,5.0,2.4375
Cr4 In2 Pd4,1.0126463617446209,3.0,1.054920167986144,86.330484,4.6,9.0,1689.1697,-13.120000000000001,4.6000000000000005,1.9000000000000001
Cr4 N8,0.9361271737949242,2.0,0.6365141682948129,26.670053333333335,2.6666666666666665,12.0,768.7666666666667,-95.1111111111111,5.333333333333333,2.5799999999999996
Cr4 Sb4 Pt4,0.5197791201677897,3.0,1.0986122886681098,122.94705333333333,5.0,10.333333333333334,1708.3933333333334,-15.11111111111111,5.666666666666666,1.9966666666666664
Cr4 Si4 Ni4,0.6454240036338459,3.0,1.0986122886681098,46.2582,3.666666666666666,9.999999999999998,1865.0,-37.33333333333333,4.666666666666666,1.8233333333333333
Cr44 Ge76,0.2934739822334711,2.0,0.6571577614973405,65.06476533333333,4.0,11.066666666666666,1566.5533333333333,-17.18444444444444,4.733333333333333,1.8816666666666666
Cr5 Ni1 Sn12,0.27148336755987496,3.0,0.7867012379169144,96.84459111111111,4.666666666666666,11.555555555555554,1038.2755555555555,6.382716049382715,4.555555555555555,1.8738888888888887
Cr6 Ag3 N9,0.5573727805696367,3.0,1.0114042647073518,42.31359,3.1666666666666665,11.333333333333332,964.0633333333333,-96.66666666666666,5.166666666666666,2.395
Cr6 Ga4 N8,0.20633444098154605,3.0,1.0608569471580214,39.051408888888886,3.111111111111111,11.555555555555555,822.0476888888888,-101.23456790123456,4.888888888888888,2.3066666666666666
Cr6 N4,0.4275912428270755,2.0,0.6730116670092564,36.800496,3.2,9.6,1333.26,-102.72,5.6,2.212
Cr6 N8,0.7164138710877292,2.0,0.6829081047004717,30.28806857142857,2.8571428571428568,11.142857142857142,970.3714285714285,-104.81632653061223,5.428571428571428,2.4485714285714284
Cr6 Pt2,0.26564895901360785,2.0,0.5623351446188083,87.76834500000001,4.5,7.0,2145.35,-18.0,6.0,1.815
Cr6 Si10,0.3046302464226317,2.0,0.6615632381579821,37.051685000000006,3.375,11.0,1871.875,-34.6875,4.75,1.81
Cr6 Si12 N22,0.46246034795399377,3.0,0.9745701894462543,23.928774,2.6,13.350000000000001,867.8324999999999,-95.43,4.8500000000000005,2.491
Cr6 Si7 Ni16,0.6109536481929826,3.0,0.997180401897094,49.91955172413793,3.758620689655172,10.137931034482758,1811.6206896551723,-31.89536266349584,4.413793103448276,1.8558620689655172
Cr8 Fe3 N8,0.36747265195481216,3.0,1.0198652142779299,36.60846736842105,3.1578947368421053,10.105263157894736,1230.4315789473685,-99.27977839335179,5.578947368421052,2.267894736842105
Cs1 B1,0.2791744951428694,2.0,0.6931471805599453,71.857725983,4.0,7.0,1325.35,29.0,2.0,1.415
Cs1 Fe2 Sb2,0.3486437760241054,3.0,1.054920167986144,97.6232103932,4.800000000000001,9.4,1146.252,25.600000000000005,4.6000000000000005,1.71
Cs1 Mg6 Mn1,0.20460433867588904,3.0,0.7356219397587946,41.70918703325,3.5,2.5,919.8375,17.5625,2.5,1.2750000000000001
Cs1 Mg6 V1,0.22212764179912087,3.0,0.7356219397587946,41.209620245749996,3.5,2.25,1002.8375,24.4375,2.25,1.2850000000000001
Cs1 N1,0.4038503039696859,2.0,0.6931471805599453,73.456225983,4.0,8.0,182.42499999999998,-155.0,3.0,1.915
Cs2 Li2 N4,0.5036873276180274,3.0,1.0397207708399179,41.9648629915,3.0,8.0,220.41249999999997,-146.0,3.0,1.9625
Cs2 Mg12 Cr2,0.2313709265488417,3.0,0.7356219397587946,41.34145149574999,3.5,2.375,1002.4625,24.4375,2.375,1.28875
Cs2 Mg12 Mn2,0.21942078786393865,3.0,0.7356219397587946,41.70918703325,3.5,2.5,919.8375,17.5625,2.5,1.2750000000000001
Cs2 Mn2 Bi2,0.49375783340063745,3.0,1.0986122886681098,132.274632422,5.333333333333333,7.666666666666666,788.4666666666667,20.888888888888886,4.333333333333333,1.4533333333333331
Cs2 Mn2 Sb2,0.5061209637225144,3.0,1.0986122886681098,103.20119875533332,5.0,7.666666666666666,908.16,15.555555555555554,4.333333333333333,1.4633333333333332
Cs4 Mn4 N36,0.3192242361881577,3.0,0.6001660731596457,28.536954205999997,2.5454545454545454,13.0,217.18636363636364,-79.17355371900827,4.818181818181818,2.7
Cs4 Mn4 N4,0.24610460702725476,3.0,1.0986122886681098,67.28349875533333,3.9999999999999996,7.666666666666666,627.9499999999999,-90.22222222222221,4.333333333333333,1.7933333333333332
Cs6 Mn2 H10,0.26672715835094746,3.0,0.9368883075390159,50.96604446644444,3.0,1.6666666666666667,277.1166666666667,-9.728395061728396,1.6666666666666667,1.6577777777777778
Cu1 Ni1,0.24182690200998178,2.0,0.6931471805599453,61.119870000000006,4.0,10.5,1542.885,4.0,4.0,1.9049999999999998
Cu1 Ni3,0.4246671715202779,2.0,0.5623351446188083,59.906655,4.0,10.25,1635.4425,3.0,4.0,1.9075
Cu1 Ni3 N1,0.23123147579288758,3.0,0.9502705392332346,50.726724000000004,3.6,11.2,1320.9840000000002,-44.64,4.2,2.134
Cu1 Rh1,0.2545625647126705,2.0,0.6931471805599453,83.225901,4.5,10.0,1797.385,-2.0,5.0,2.09
Cu3 Ru1 N1,0.34542449143655624,3.0,0.9502705392332346,61.14358,3.8,11.2,1348.692,-46.72,5.0,2.188
Cu4 Ge4 N8,0.22685205024644034,3.0,1.0397207708399179,41.047775,3.0,13.75,673.8675000000001,-84.125,4.5,2.4975
Cu4 N32,0.3668893469514709,2.0,0.34883209584303193,19.511366666666664,2.2222222222222223,14.555555555555555,206.99666666666664,-33.18518518518518,4.888888888888888,2.913333333333333
Cu6 Ru2,0.22845608041488194,2.0,0.5623351446188083,72.92772500000001,4.25,10.25,1670.0774999999999,5.25,5.0,1.975
F8,1.1791474056395588,1.0,-0.0,18.9984031636,2.0,17.0,53.48,0.0,1.0,3.98
Fe1,2.4439478690945373,1.0,-0.0,55.8452,4.0,8.0,1811.0,0.0,6.0,1.83
Fe1 Ag1,1.0553747987870912,2.0,0.6931471805599453,81.85670999999999,4.5,9.5,1522.9650000000001,28.0,5.0,1.88
Fe1 Ag3,0.5456678612048617,2.0,0.5623351446188083,94.86246499999999,4.75,10.25,1378.9475,21.0,4.5,1.905
Fe1 Au1,1.088622221702462,2.0,0.6931471805599453,126.40588475,5.0,9.5,1574.165,8.0,5.5,2.185
Fe1 Au3,0.5313132771355696,2.0,0.5623351446188083,161.686227125,5.5,10.25,1455.7475,6.0,5.25,2.3625
Fe1 B2,0.4013583711499619,2.0,0.6365141682948129,25.82173333333333,2.6666666666666665,11.333333333333332,2169.6666666666665,-23.11111111111111,4.0,1.97
Fe1 B4 Mo2,0.19287749850526134,3.0,0.9556998911125343,41.569599999999994,3.1428571428571423,10.285714285714285,2428.4285714285716,-31.020408163265305,4.285714285714286,2.044285714285714
Fe1 Co1,2.4330435262377907,2.0,0.6931471805599453,57.3891972,4.0,8.5,1789.5,-1.0,5.5,1.855
Fe1 Co1 Pt2,1.1405621345169383,3.0,1.0397207708399179,126.23704860000001,5.0,9.25,1915.45,-10.25,5.75,2.0675
Fe1 Co1 Sn1,0.984332569327466,3.0,1.0986122886681098,77.82969813333334,4.333333333333333,10.333333333333332,1361.36,4.444444444444444,5.0,1.8900000000000001
Fe1 Co2 Ge1,1.506837124301497,3.0,1.0397207708399179,61.5855972,4.0,10.0,1639.6,-15.125,5.0,1.9
Fe1 Co2 N2,0.5934031031402462,3.0,1.054920167986144,40.34511776,3.2,11.200000000000001,1094.66,-76.16000000000001,5.2,2.334
Fe1 Co2 Si1,1.5877949539010487,3.0,1.0397207708399179,50.4491472,3.75,10.0,1758.5,-28.25,5.0,1.8725
Fe1 Co3,2.0375684866456014,2.0,0.5623351446188083,58.1611958,4.0,8.75,1778.75,-0.75,5.25,1.8675
Fe1 Co9,1.5997428209781148,2.0,0.3250829733914482,58.62439496,4.0,8.9,1772.3000000000002,-0.36000000000000004,5.1,1.875
Fe1 Cu1,1.2519052600420695,2.0,0.6931471805599453,59.695750000000004,4.0,9.5,1584.385,13.0,5.0,1.865
Fe1 Cu1 Ni1,1.0505122768862971,3.0,1.0986122886681098,59.361646666666665,4.0,9.666666666666666,1632.2566666666667,6.666666666666666,4.666666666666666,1.8800000000000001
Fe1 Cu1 Pt2,0.8478769190995221,3.0,1.0397207708399179,127.390325,5.0,9.75,1812.8925,-9.25,5.5,2.0725
Fe1 Cu2 Sn1,0.5572475507873076,3.0,1.0397207708399179,75.412125,4.25,11.0,1257.905,12.75,4.5,1.8975
Fe1 Cu3,0.6198296413891244,2.0,0.5623351446188083,61.621025,4.0,10.25,1471.0774999999999,9.75,4.5,1.8824999999999998
Fe1 Cu4,0.4586994375654399,2.0,0.5004024235381879,62.006080000000004,4.0,10.4,1448.4160000000002,8.320000000000002,4.4,1.8860000000000001
Fe1 Ge1 Ru2,0.9172089808592421,3.0,1.0397207708399179,82.655,4.5,9.5,2059.1,-15.625,6.5,2.06
Fe1 H1,2.1917235552164462,2.0,0.6931471805599453,28.4266,2.5,4.5,912.495,-23.0,3.5,2.015
Fe1 H3,0.4275711905153973,2.0,0.5623351446188083,14.7173,1.75,2.75,463.2425,-17.25,2.25,2.1075
Fe1 Mo2,0.5346292734572375,2.0,0.6365141682948129,82.58239999999999,4.666666666666666,6.666666666666666,2534.333333333333,-1.7777777777777777,6.0,2.05
Fe1 N1,1.726650183130843,2.0,0.6931471805599453,34.9261,3.0,11.5,937.075,-87.0,5.5,2.435
Fe1 Ni1,1.6585771423005347,2.0,0.6931471805599453,57.26932,4.0,9.0,1769.5,-2.0,5.0,1.87
Fe1 Ni1 N1,0.9646679330723363,3.0,1.0986122886681098,42.848546666666664,3.333333333333333,11.0,1200.7166666666665,-70.22222222222221,5.0,2.26
Fe1 Ni1 Pt2,0.987144286656595,3.0,1.0397207708399179,126.17711,5.0,9.5,1905.45,-9.5,5.5,2.075
Fe1 Ni1 Pt6,0.5739806537043456,3.0,0.7356219397587946,160.63100500000002,5.5,9.75,1973.4250000000002,-6.875,5.75,2.1774999999999998
Fe1 Ni1 Sn1,0.753999581911012,3.0,1.0986122886681098,77.74978,4.333333333333333,10.666666666666666,1348.0266666666666,2.222222222222222,4.666666666666666,1.9000000000000001
Fe1 Ni2 Ge1,0.5919067752928449,3.0,1.0397207708399179,61.46572,4.0,10.5,1619.6,-16.625,4.5,1.915
Fe1 Ni3,1.218291240970409,2.0,0.5623351446188083,57.98138,4.0,9.5,1748.75,-1.5,4.5,1.89
Fe1 Pb1 W2,0.34454433430138565,3.0,1.0397207708399179,157.6843,5.5,8.5,2450.4025,31.75,5.5,2.105
Fe1 Pd2,1.004729396112856,2.0,0.6365141682948129,89.5624,4.666666666666666,9.333333333333332,1822.3666666666663,-3.5555555555555554,4.666666666666666,2.0766666666666667
Fe1 Pd2 N2,0.24904798344617954,3.0,1.054920167986144,59.34024000000001,3.5999999999999996,11.6,1118.68,-68.80000000000001,4.800000000000001,2.462
Fe1 Pd3,0.8186182276167118,2.0,0.5623351446188083,93.77705,4.75,9.5,1823.7875,-3.0,4.5,2.1075
Fe1 Pt1,1.4805776523669882,2.0,0.6931471805599453,125.46505,5.0,9.0,1926.2,-13.0,6.0,2.0549999999999997
Fe1 Pt3,0.9611906682106823,2.0,0.5623351446188083,160.274975,5.5,9.5,1983.8000000000002,-9.75,6.0,2.1675
Fe1 Rh1,1.6869037290022555,2.0,0.6931471805599453,79.375351,4.5,8.5,2024.0,-5.0,6.0,2.0549999999999997
Fe1 Sb1 Pt1,0.5326172179095874,3.0,1.0986122886681098,124.23006666666666,5.0,11.0,1585.3933333333334,-8.88888888888889,5.666666666666666,2.0533333333333332
Fe1 Sb1 Rh2,0.6443948434989111,3.0,1.0397207708399179,95.85407599999999,4.75,10.25,1797.195,-4.0,5.75,2.11
Fe1 Si1 Ru2,0.9392562219893272,3.0,1.0397207708399179,71.51855,4.25,9.5,2178.0,-30.25,6.5,2.0325
Fe1 Si1 Tc2,0.599082482143323,3.0,1.0397207708399179,69.98255,4.25,9.0,2089.5,-29.25,6.0,1.8824999999999998
Fe1 Sn1 Rh2,0.7362415864563806,3.0,1.0397207708399179,95.091726,4.75,10.0,1697.52,-6.25,5.5,2.0875
Fe1 Sn1 Ru2,0.8109557872404939,3.0,1.0397207708399179,94.17497499999999,4.75,9.5,1882.52,2.25,6.5,2.0475000000000003
Fe1 Tc2 Ge1,0.5614454715811483,3.0,1.0397207708399179,81.119,4.5,9.0,1970.6,-14.625,6.0,1.91
Fe10 Co1 N8,0.6776350941609931,3.0,0.8569977547780645,38.39164181052631,3.1578947368421053,11.0,1072.8,-83.87811634349029,5.526315789473684,2.3421052631578947
Fe10 Cu1 N8,0.36578449456387985,3.0,0.8569977547780645,38.63443684210526,3.1578947368421053,11.105263157894736,1051.2089473684211,-83.12465373961217,5.473684210526315,2.343157894736842
Fe10 Ni1 N8,0.3991024042164518,3.0,0.8569977547780645,38.379023157894736,3.1578947368421053,11.052631578947368,1070.6947368421054,-83.45706371191135,5.473684210526315,2.3436842105263156
Fe10 Si2 B4,1.2660346840953427,3.0,0.9002560512685369,41.116375,3.375,10.0,1930.0,-28.9375,5.0,1.89125
Fe10 Si4 B2,1.1586188049719595,3.0,0.9002560512685369,43.27575,3.5,10.125,1847.25,-31.75,5.125,1.8737499999999998
Fe10 Si6,0.9525741223007248,2.0,0.661563238157982,45.435125,3.625,10.25,1764.5,-32.8125,5.25,1.85625
Fe100,2.0557479956462696,1.0,-0.0,55.8452,4.0,8.0,1811.0,0.0,6.0,1.83
Fe11 Si5,1.0878033492649481,2.0,0.6210863745552452,47.1701375,3.6875,9.875,1772.25,-30.078125,5.375,1.8518750000000002
Fe12 B4,1.7864615242425268,2.0,0.5623351446188083,44.5864,3.5,9.25,1945.5,-19.5,5.25,1.8825
Fe12 Ge10,0.778514637100741,2.0,0.6890092384766585,63.47501818181817,4.0,10.727272727272727,1538.4545454545455,-15.37190082644628,5.090909090909091,1.9118181818181816
Fe12 Mo12 N4,0.27749981717822647,3.0,1.0042424730540764,67.05651428571429,4.142857142857142,8.142857142857142,2026.3071428571427,-50.938775510204074,5.857142857142857,2.144285714285714
Fe12 N4,1.7047912264981782,2.0,0.5623351446188083,45.38565,3.5,9.75,1374.0375,-65.25,5.75,2.1325000000000003
Fe12 N6,2.36309811626072,2.0,0.6365141682948129,41.899133333333324,3.333333333333333,10.333333333333332,1228.3833333333332,-77.33333333333333,5.666666666666667,2.2333333333333334
Fe12 Si2 B2,1.680153154863696,3.0,0.7356219397587946,46.745775,3.625,9.375,1862.75,-23.75,5.375,1.8650000000000002
Fe12 Si4 N16,0.2845496121347058,3.0,0.9743147528693494,31.456075,2.875,12.25,921.575,-92.0625,5.25,2.44375
Fe12 Si4 Ni4,1.403133501996847,3.0,0.9502705392332346,50.862808,3.8,9.600000000000001,1769.6,-24.160000000000004,5.2,1.86
Fe12 W12 N4,0.23052043165671735,3.0,1.0042424730540764,104.72365714285714,4.571428571428571,8.142857142857142,2368.735714285714,-46.53061224489795,5.857142857142857,2.2299999999999995
Fe12 W2 N8,0.34337406352385497,3.0,0.9164648855394713,52.26729090909091,3.4545454545454546,10.363636363636363,1346.6909090909091,-82.64462809917354,5.636363636363637,2.318181818181818
Fe13 Co3,2.5221738006670895,2.0,0.48257756517701206,56.42419895,4.0,8.1875,1802.9375,-0.609375,5.8125,1.839375
Fe13 Ge3,2.029296281964407,2.0,0.48257756517701206,58.9925,4.0,9.125,1698.575,-9.4453125,5.625,1.86375
Fe14 Ge8,1.3956247216378859,2.0,0.6554817739013928,61.949054545454544,4.0,10.181818181818182,1592.9636363636364,-14.347107438016529,5.2727272727272725,1.8954545454545455
Fe15 Co1,2.61133466232155,2.0,0.2337916587064593,56.038199649999996,4.0,8.0625,1808.3125,-0.234375,5.9375,1.8331250000000001
Fe16 Ge16 N32,0.6226632993359944,3.0,1.0397207708399179,39.1225,3.0,13.0,787.1750000000001,-86.625,5.0,2.48
Fe16 Mo8 N4,0.8147467624030537,3.0,0.9556998911125344,61.32711428571427,3.9999999999999996,8.428571428571429,1871.3071428571427,-48.48979591836734,5.857142857142857,2.097142857142857
Fe16 Si16 N32,1.0885315898873276,3.0,1.0397207708399179,27.98605,2.75,13.0,906.075,-92.75,5.0,2.4525
Fe16 W8 N4,0.4318717000652942,3.0,0.9556998911125343,86.43854285714285,4.285714285714286,8.42857142857143,2099.5928571428567,-45.22448979591836,5.857142857142857,2.154285714285714
Fe2,2.6269061902485777,1.0,-0.0,55.8452,4.0,8.0,1811.0,0.0,6.0,1.83
Fe2 Ag6,0.5264608800421655,2.0,0.5623351446188083,94.86246499999999,4.75,10.25,1378.9475,21.0,4.5,1.905
Fe2 B1,1.5673563465230687,2.0,0.6365141682948129,40.83346666666666,3.333333333333333,9.666666666666666,1990.3333333333333,-23.11111111111111,5.0,1.9
Fe2 B2,1.386699226923092,2.0,0.6931471805599453,33.3276,3.0,10.5,2080.0,-26.0,4.5,1.935
Fe2 B4 Mo1,0.28819849468423925,3.0,0.9556998911125343,35.840199999999996,3.0,10.571428571428571,2273.4285714285716,-28.408163265306122,4.285714285714286,1.997142857142857
Fe2 B4 Mo4,0.4441875329993944,3.0,1.054920167986144,53.87344,3.5999999999999996,9.200000000000001,2460.2000000000003,-30.720000000000006,4.800000000000001,2.0460000000000003
Fe2 B4 W4,0.36771274535666104,3.0,1.054920167986144,89.02944000000001,4.0,9.200000000000001,2779.8,-28.160000000000004,4.800000000000001,2.1260000000000003
Fe2 B6 Rh12,0.416441453862347,3.0,0.8979457248567798,70.5708212,4.0,10.1,2228.0,-22.32,5.1,2.163
Fe2 Co1 Ge1,1.270107405873552,3.0,1.0397207708399179,60.81359859999999,4.0,9.75,1650.35,-13.625,5.25,1.8875
Fe2 Co1 N2,0.3347271464548615,3.0,1.054920167986144,39.727518880000005,3.2,11.0,1103.26,-80.00000000000001,5.4,2.3240000000000003
Fe2 Co1 Si1,1.2633706607828454,3.0,1.0397207708399179,49.677148599999995,3.75,9.75,1769.25,-27.5,5.25,1.8599999999999999
Fe2 Co2 B2,1.2855151372636107,3.0,1.0986122886681098,41.86279813333333,3.333333333333333,10.0,1976.0,-22.666666666666664,4.666666666666666,1.9166666666666665
Fe2 Co2 B4,0.3832784280773139,3.0,1.0397207708399179,34.0995986,3.0,10.75,2069.25,-25.25,4.25,1.9475
Fe2 Co2 Ge2,0.766727583006764,3.0,1.0986122886681098,62.46973146666666,4.0,10.333333333333332,1596.7999999999997,-16.888888888888886,5.0,1.9066666666666667
Fe2 Co2 Si4,0.266110788237885,3.0,1.0397207708399179,42.7370986,3.5,11.25,1738.25,-36.75,4.75,1.8775
Fe2 Co2 Sn2,0.8743196248983488,3.0,1.0986122886681098,77.82969813333334,4.333333333333333,10.333333333333332,1361.36,4.444444444444444,5.0,1.8900000000000001
Fe2 Cu1 Ni1 Pt4,0.8312906923177388,4.0,1.2130075659799042,126.7837175,5.0,9.625,1859.17125,-9.125,5.5,2.07375
Fe2 Cu6,0.6297334211736196,2.0,0.5623351446188083,61.621025,4.0,10.25,1471.0774999999999,9.75,4.5,1.8824999999999998
Fe2 Ge1,1.5078985042777537,2.0,0.6365141682948129,61.44039999999999,4.0,10.0,1611.1333333333332,-13.777777777777777,5.333333333333333,1.89
Fe2 Ge14 N20,0.18195292666140675,3.0,0.8544149816001841,39.129488888888886,2.888888888888889,14.222222222222223,606.7944444444445,-79.91975308641975,4.666666666666667,2.5722222222222224
Fe2 Ge4,0.44876747385440835,2.0,0.6365141682948129,67.03559999999999,4.0,11.999999999999998,1411.2666666666667,-13.777777777777777,4.666666666666666,1.95
Fe2 Ge6,0.4166425099189316,2.0,0.5623351446188083,68.4344,4.0,12.5,1361.3000000000002,-11.625,4.5,1.9649999999999999
Fe2 H6,0.3100734515146645,2.0,0.5623351446188083,14.7173,1.75,2.75,463.2425,-17.25,2.25,2.1075
Fe2 Hg6,0.4050952112592924,2.0,0.5623351446188083,164.40552499999998,5.5,11.0,628.4907499999999,16.5,4.5,1.9575
Fe2 N1,1.1585953074311268,2.0,0.6365141682948129,41.899133333333324,3.333333333333333,10.333333333333332,1228.3833333333332,-77.33333333333333,5.666666666666667,2.2333333333333334
Fe2 N2,0.9532658982681128,2.0,0.6931471805599453,34.9261,3.0,11.5,937.075,-87.0,5.5,2.435
Fe2 Ni1,1.922831757610574,2.0,0.6365141682948129,56.79461333333333,4.0,8.666666666666666,1783.3333333333333,-1.7777777777777777,5.333333333333333,1.8566666666666667
Fe2 Ni1 N2,0.5738240537776338,3.0,1.054920167986144,39.679568,3.2,11.200000000000001,1095.26,-78.40000000000002,5.2,2.33
Fe2 Ni2,1.8501508211173796,2.0,0.6931471805599453,57.26932,4.0,9.0,1769.5,-2.0,5.0,1.87
Fe2 Ni2 B2,0.8101773235970966,3.0,1.0986122886681098,41.78288,3.333333333333333,10.333333333333334,1962.6666666666665,-23.11111111111111,4.333333333333333,1.9266666666666665
Fe2 Ni2 Ge2,0.6092007305164333,3.0,1.0986122886681098,62.38981333333333,4.0,10.666666666666666,1583.4666666666667,-18.22222222222222,4.666666666666666,1.9166666666666667
Fe2 Ni2 Sn2,0.6306422996619395,3.0,1.0986122886681098,77.74978,4.333333333333333,10.666666666666666,1348.0266666666666,2.222222222222222,4.666666666666666,1.9000000000000001
Fe2 Ni4,1.3101240807602546,2.0,0.6365141682948129,57.74402666666666,4.0,9.333333333333332,1755.6666666666665,-1.7777777777777777,4.666666666666666,1.8833333333333333
Fe2 Ni6,1.3686204066018242,2.0,0.5623351446188083,57.98138,4.0,9.5,1748.75,-1.5,4.5,1.89
Fe2 Pb1 N2,0.41191197505295957,3.0,1.054920167986144,69.38288,3.6000000000000005,12.0,869.7820000000002,-72.64000000000001,5.2,2.322
Fe2 Pd1,1.6768070177836025,2.0,0.6365141682948129,72.7038,4.333333333333333,8.666666666666666,1816.6833333333332,-3.5555555555555554,5.333333333333333,1.9533333333333334
Fe2 Pd2,1.4979980292328148,2.0,0.6931471805599453,81.1331,4.5,9.0,1819.525,-4.0,5.0,2.015
Fe2 Pd3 Au3,0.7445976978653999,3.0,1.0821955300387671,127.7316385625,5.125,9.875,1639.7675,1.5,4.875,2.2350000000000003
Fe2 Pt1,1.7068158033924938,2.0,0.6365141682948129,102.25843333333333,4.666666666666666,8.666666666666666,1887.8,-11.555555555555555,6.0,1.9799999999999998
Fe2 Pt1 Rh1,1.3114025570807952,3.0,1.0397207708399179,102.42020049999999,4.75,8.75,1975.1,-9.5,6.0,2.0549999999999997
Fe2 Re2 B2,0.67263613081358,3.0,1.0986122886681098,84.28743333333333,3.9999999999999996,9.333333333333334,2539.6666666666665,-22.666666666666664,5.333333333333333,1.9233333333333331
Fe2 Re6,0.34823704412814016,2.0,0.5623351446188083,153.616625,5.5,7.25,3047.0,0.0,6.75,1.8824999999999998
Fe2 Rh6,0.7509152886563779,2.0,0.5623351446188083,91.14042649999999,4.75,8.75,2130.5,-3.75,6.0,2.1675
Fe2 Sb2,0.40919567912130017,2.0,0.6931471805599453,88.80265,4.5,11.5,1357.3899999999999,10.0,5.5,1.94
Fe2 Sb4,0.3201880922594041,2.0,0.6365141682948129,99.78846666666665,4.666666666666666,12.666666666666666,1206.1866666666665,8.88888888888889,5.333333333333333,1.9766666666666666
Fe2 Si1,0.8378325811910415,2.0,0.6365141682948129,46.5918,3.6666666666666665,10.0,1769.6666666666665,-31.11111111111111,5.333333333333333,1.8533333333333333
Fe2 Si1 Ni1,1.2528465485075713,3.0,1.0397207708399179,49.61721,3.75,10.0,1759.25,-28.5,5.0,1.8675
Fe2 Si14 N20,0.21426215095011095,3.0,0.8544149816001841,21.806122222222225,2.5,14.222222222222223,791.75,-83.76543209876544,4.666666666666667,2.5294444444444446
Fe2 Si4 N6,0.5770673056225857,3.0,1.0114042647073518,25.6727,2.6666666666666665,13.5,895.7416666666666,-90.77777777777777,4.833333333333333,2.4583333333333335
Fe2 Sn2,0.6022600604911348,2.0,0.6931471805599453,87.27795,4.5,11.0,1158.04,11.0,5.0,1.895
Fe2 Sn4,0.3091281453146985,2.0,0.6365141682948129,97.75553333333333,4.666666666666666,11.999999999999998,940.3866666666665,9.777777777777777,4.666666666666666,1.9166666666666667
Fe2 Sn6,0.34141637459544955,2.0,0.5623351446188083,102.994325,4.75,12.5,831.56,8.25,4.5,1.9275
Fe2 W2 N4,1.0612085210262294,3.0,1.0397207708399179,66.92505,3.5,11.0,1408.075,-95.0,5.5,2.5675
Fe20 Si12,0.9265502134883887,2.0,0.661563238157982,45.435125,3.625,10.25,1764.5,-32.8125,5.25,1.85625
Fe22 B6 W1,1.6471900786995406,3.0,0.6516582165640162,50.941220689655175,3.655172413793103,8.965517241379311,1987.2758620689656,-17.208085612366226,5.379310344827585,1.8917241379310343
Fe23 B6,2.2207155236135305,2.0,0.5098156995816887,46.5275724137931,3.586206896551724,9.03448275862069,1922.3103448275863,-17.065398335315102,5.379310344827586,1.873448275862069
Fe24 N10,1.4747070121885018,2.0,0.605797499372304,43.539847058823526,3.4117647058823533,10.058823529411764,1296.9264705882354,-72.2491349480969,5.705882352941177,2.1858823529411766
Fe24 N8,1.7246214807020812,2.0,0.5623351446188083,45.38565,3.5,9.75,1374.0375,-65.25,5.75,2.1325000000000003
Fe24 N9,1.5966730038043064,2.0,0.5859526183035508,44.43478181818182,3.4545454545454546,9.909090909090908,1334.3136363636365,-69.02479338842974,5.727272727272727,2.16
Fe25 Mo4,1.4604881514431378,2.0,0.40118986218700575,61.37703448275862,4.137931034482758,7.724137931034482,1960.655172413793,-0.9512485136741973,6.0,1.8755172413793104
Fe26 Mo18,0.293117753638477,2.0,0.6765259604934998,72.25211818181819,4.409090909090909,7.181818181818182,2254.8636363636365,-1.9338842975206614,6.0,1.9650000000000003
Fe28,2.2830297507223523,1.0,-0.0,55.8452,4.0,8.0,1811.0,0.0,6.0,1.83
